STA 0
time:1978.28 speed:48 num:11168
time:1982.45 speed:18 num:1976
time:1985.05 speed:36 num:1236
time:1999.11 speed:9 num:6809
time:2003.51 speed:9 num:2060
time:2004.42 speed:12 num:436
time:2013.46 speed:36 num:4452
time:2026.87 speed:54 num:6490
time:2028.9 speed:9 num:964
time:2033.75 speed:9 num:2358
time:2059.59 speed:36 num:12397
time:2064.3 speed:36 num:2311
time:2067.68 speed:12 num:1622
time:2077.66 speed:18 num:4916
time:2077.85 speed:9 num:90
time:2093.25 speed:54 num:7647
time:2104.21 speed:54 num:5268
time:2124.24 speed:54 num:9703
time:2147.26 speed:9 num:11089
time:2174.6 speed:12 num:13350
time:2197.91 speed:6 num:11380
time:2203.54 speed:9 num:2737
time:2218.09 speed:54 num:7083
time:2226.36 speed:36 num:3949
time:2234.42 speed:6 num:3943
time:2239.21 speed:48 num:2372
time:2245.32 speed:9 num:2886
time:2265.21 speed:12 num:9665
time:2268.57 speed:18 num:1639
time:2286.66 speed:12 num:8703
time:2286.71 speed:9 num:37
time:2292.09 speed:9 num:2638
time:2294.18 speed:24 num:1006
time:2301.43 speed:48 num:3541
time:2341.98 speed:24 num:19610
time:2353.27 speed:6 num:5470
time:2355.07 speed:24 num:824
time:2374.02 speed:48 num:9218
time:2382.1 speed:18 num:3978
time:2384.17 speed:24 num:1024
time:2384.68 speed:18 num:225
time:2386.03 speed:12 num:653
time:2399.8 speed:12 num:6618
time:2407.04 speed:54 num:3588
time:2449.34 speed:48 num:20578
time:2449.88 speed:9 num:251
time:2458.52 speed:54 num:4257
time:2466.28 speed:6 num:3758
time:2478.94 speed:9 num:6030
time:2491.56 speed:12 num:6110
time:2512.24 speed:54 num:9880
time:2518.26 speed:6 num:2999
time:2531.75 speed:48 num:6469
time:2549.98 speed:54 num:8901
time:2566.43 speed:48 num:8013
time:2566.82 speed:6 num:193
time:2569.35 speed:54 num:1230
time:2576.74 speed:36 num:3597
time:2588.85 speed:12 num:5923
time:2590.53 speed:6 num:792
time:2600.83 speed:36 num:5102
time:2605.68 speed:36 num:2409
time:2611.86 speed:54 num:3045
time:2612.23 speed:24 num:162
time:2633.84 speed:24 num:10515
time:2634.76 speed:24 num:419
time:2637.65 speed:36 num:1411
time:2645.6 speed:54 num:3767
time:2655.91 speed:54 num:5067
time:2664.01 speed:24 num:3946
time:2664.09 speed:9 num:43
time:2666.56 speed:48 num:1289
time:2676.65 speed:12 num:4921
time:2680.9 speed:54 num:1995
time:2688.76 speed:12 num:3834
time:2695.93 speed:48 num:3476
time:2702.85 speed:54 num:3323
time:2707.48 speed:9 num:2252
time:2712.46 speed:18 num:2401
time:2714.58 speed:54 num:1027
time:2741.02 speed:6 num:12772
time:2743.61 speed:54 num:1244
time:2754.14 speed:24 num:4977
time:2756.76 speed:6 num:1224
time:2770.91 speed:12 num:6831
time:2789.18 speed:6 num:8820
time:2789.67 speed:36 num:232
time:2795.4 speed:9 num:2772
time:2815.37 speed:48 num:9870
time:2842.3 speed:54 num:13141
time:2848.89 speed:24 num:3230
time:2875.98 speed:48 num:13227
time:2892.47 speed:54 num:7797
time:2894.32 speed:36 num:915
time:2910.49 speed:12 num:7772
time:2926.65 speed:36 num:7917
time:2987.58 speed:18 num:29419
time:2998.17 speed:12 num:5054
time:3013.24 speed:48 num:7298
time:3013.87 speed:36 num:320
time:3031.93 speed:12 num:8612
time:3033.78 speed:54 num:916
time:3040.04 speed:6 num:3066
time:3052.58 speed:6 num:6076
time:3055.65 speed:9 num:1578
time:3076.36 speed:18 num:9987
time:3092.26 speed:36 num:7813
time:3095.79 speed:12 num:1721
time:3100.95 speed:36 num:2507
time:3138.37 speed:9 num:18010
time:3139.39 speed:48 num:477
time:3177.56 speed:24 num:18565
time:3190.48 speed:48 num:6222
time:3212.67 speed:6 num:10691
time:3229.49 speed:54 num:8196
time:3231.52 speed:9 num:939
time:3233.79 speed:9 num:1130
time:3330.82 speed:48 num:47157
time:3363.28 speed:54 num:15552
time:3367.41 speed:54 num:2084
time:3370.62 speed:9 num:1523
time:3375.33 speed:9 num:2308
time:3380.92 speed:12 num:2691
time:3384.55 speed:24 num:1715
time:3397.88 speed:54 num:6502
time:3407.85 speed:24 num:4860
time:3410.51 speed:9 num:1317
time:3428.02 speed:9 num:8564
time:3435.99 speed:54 num:3881
time:3439.77 speed:54 num:1936
time:3443.12 speed:54 num:1677
time:3443.51 speed:36 num:182
time:3462.57 speed:48 num:9291
time:3470.49 speed:9 num:3855
time:3478.87 speed:36 num:4270
time:3499.39 speed:18 num:9962
time:3511.66 speed:48 num:5931
time:3512.24 speed:48 num:285
time:3540.9 speed:18 num:13758
time:3544 speed:24 num:1480
time:3547.29 speed:48 num:1563
time:3551.1 speed:9 num:1833
time:3575.93 speed:18 num:12062
time:3584.03 speed:54 num:3972
time:3584.88 speed:18 num:419
time:3605.15 speed:36 num:9840
time:3612.58 speed:48 num:3612
time:3629.72 speed:18 num:8425
time:3644.93 speed:36 num:7428
time:3645.1 speed:24 num:91
time:3657.41 speed:36 num:5928
time:3668.68 speed:54 num:5317
time:3697.76 speed:36 num:14172
time:3721.39 speed:18 num:11459
time:3722.7 speed:9 num:690
time:3727.27 speed:54 num:2225
time:3747.91 speed:48 num:9867
time:3748.28 speed:54 num:155
time:3751.24 speed:12 num:1430
time:3757.82 speed:9 num:3188
time:3778.12 speed:54 num:9750
time:3807.65 speed:9 num:14514
time:3810.95 speed:18 num:1581
time:3811.88 speed:36 num:457
time:3827.8 speed:18 num:7799
time:3829.81 speed:54 num:986
time:3832.39 speed:54 num:1239
time:3846.24 speed:6 num:6779
time:3850.74 speed:36 num:2214
time:3854.01 speed:18 num:1528
time:3855.91 speed:6 num:937
time:3856.29 speed:54 num:195
time:3858.88 speed:9 num:1275
time:3866.2 speed:6 num:3455
time:3867.48 speed:54 num:660
time:3900.09 speed:24 num:16031
time:3904.9 speed:12 num:2367
time:3910.65 speed:36 num:2770
time:3915.83 speed:12 num:2525
time:3923.29 speed:9 num:3683
time:3928.68 speed:54 num:2654
time:3935.41 speed:18 num:3313
time:3943.27 speed:12 num:3831
time:3943.74 speed:48 num:221
time:3949.95 speed:18 num:3027
time:3952.92 speed:12 num:1432
time:3980.65 speed:24 num:13528
time:3991.35 speed:6 num:5259
time:3992.76 speed:54 num:738
time:4008.9 speed:6 num:7849
time:4020.72 speed:18 num:5743
time:4024.63 speed:36 num:1882
time:4026.71 speed:54 num:1028
time:4032.09 speed:9 num:2662
time:4050.57 speed:9 num:8981
time:4051.83 speed:18 num:591
time:4067.31 speed:24 num:7623
time:4069.67 speed:48 num:1130
time:4090.75 speed:48 num:10175
time:4099.06 speed:36 num:3944
time:4105.11 speed:18 num:2975
time:4127.44 speed:18 num:10752
time:4138.17 speed:6 num:5218
time:4159.23 speed:48 num:10121
time:4178.24 speed:24 num:9122
time:4181.32 speed:18 num:1476
time:4195.8 speed:48 num:7095
time:4206.66 speed:6 num:5285
time:4211.85 speed:12 num:2611
time:4214.05 speed:9 num:1072
time:4218.91 speed:6 num:2297
time:4223.22 speed:18 num:2032
time:4227.63 speed:9 num:2135
time:4248.63 speed:36 num:10223
time:4286.21 speed:24 num:18216
time:4301.6 speed:36 num:7571
time:4307.16 speed:54 num:2669
time:4317.84 speed:18 num:5228
time:4323.37 speed:9 num:2634
time:4334.94 speed:18 num:5695
time:4340.47 speed:36 num:2581
time:4359.28 speed:54 num:9086
time:4366.59 speed:18 num:3502
time:4369.57 speed:54 num:1404
time:4379.31 speed:36 num:4761
time:4379.97 speed:18 num:319
time:4381.59 speed:36 num:774
time:4382.26 speed:24 num:318
time:4389.16 speed:12 num:3310
time:4400.83 speed:24 num:5611
time:4401.94 speed:9 num:580
time:4401.99 speed:9 num:24
time:4404.91 speed:18 num:1441
time:4406.11 speed:18 num:615
time:4410.54 speed:12 num:2127
time:4421.17 speed:18 num:5231
time:4421.91 speed:54 num:360
time:4430.71 speed:18 num:4367
time:4450.5 speed:54 num:9631
time:4455.26 speed:48 num:2323
time:4458.13 speed:24 num:1394
time:4458.21 speed:36 num:44
time:4465.31 speed:24 num:3388
time:4467.05 speed:24 num:846
time:4467.35 speed:54 num:129
time:4472.65 speed:12 num:2550
time:4484.71 speed:54 num:5867
time:4489.79 speed:6 num:2469
time:4500.35 speed:48 num:5007
time:4514.41 speed:18 num:6776
time:4533.72 speed:9 num:9473
time:4542.41 speed:18 num:4158
time:4566.05 speed:48 num:11583
time:4570.66 speed:18 num:2250
time:4572.53 speed:24 num:908
time:4584.01 speed:54 num:5571
time:4592.05 speed:24 num:3890
time:4598.72 speed:54 num:3194
time:4608.08 speed:48 num:4453
time:4609.26 speed:18 num:547
time:4627.77 speed:24 num:9080
time:4630.93 speed:9 num:1515
time:4632.46 speed:9 num:694
time:4638.07 speed:24 num:2744
time:4638.19 speed:54 num:61
time:4642.05 speed:36 num:1873
time:4666.45 speed:24 num:11744
time:4674.59 speed:9 num:3896
time:4679.81 speed:12 num:2545
time:4681.28 speed:6 num:686
time:4683.15 speed:6 num:973
time:4695.78 speed:48 num:6262
time:4701.5 speed:6 num:2753
time:4701.73 speed:48 num:118
time:4715.85 speed:9 num:6774
time:4744.73 speed:48 num:13995
time:4750.93 speed:36 num:3059
time:4751.15 speed:36 num:95
time:4771 speed:48 num:9734
time:4775.77 speed:36 num:2305
time:4786.03 speed:6 num:4957
time:4793.27 speed:12 num:3456
time:4834.79 speed:36 num:20276
time:4851.32 speed:24 num:7958
time:4851.6 speed:48 num:125
time:4856.59 speed:6 num:2445
time:4882.51 speed:12 num:12510
time:4887.47 speed:24 num:2445
time:4909.29 speed:54 num:10498
time:4909.81 speed:18 num:240
time:4913.78 speed:48 num:1946
time:4920.05 speed:9 num:3075
time:4921.55 speed:24 num:728
time:4926.09 speed:9 num:2264
time:4937.08 speed:18 num:5451
time:4937.47 speed:9 num:186
time:4938.49 speed:18 num:491
time:4959.93 speed:9 num:10518
time:4961.19 speed:24 num:605
time:4976.23 speed:48 num:7213
time:4981.01 speed:6 num:2299
time:4983.35 speed:9 num:1156
time:4993.53 speed:48 num:5006
time:4999.38 speed:6 num:2856

STA 1
time:0 speed:18 num:373
time:0.903408 speed:36 num:40
time:5.82449 speed:54 num:2428
time:6.01333 speed:48 num:84
time:6.2023 speed:12 num:97
time:6.87644 speed:48 num:367
time:9.08046 speed:48 num:1064
time:9.42503 speed:18 num:188
time:10.4989 speed:18 num:570
time:12.1179 speed:48 num:836
time:12.6425 speed:9 num:239
time:13.1336 speed:12 num:264
time:18.7254 speed:12 num:2791
time:19.5844 speed:54 num:432
time:27.6768 speed:9 num:4001
time:36.2171 speed:54 num:4349
time:39.2562 speed:48 num:1526
time:47.4841 speed:9 num:4121
time:48.712 speed:6 num:655
time:57.4132 speed:18 num:4390
time:57.6405 speed:18 num:125
time:60.7222 speed:18 num:1571
time:63.0478 speed:12 num:1139
time:64.5637 speed:12 num:774
time:64.5757 speed:12 num:7
time:64.8642 speed:24 num:132
time:65.8556 speed:18 num:497
time:68.1682 speed:6 num:1228
time:82.5796 speed:24 num:7065
time:84.1579 speed:12 num:753
time:91.9161 speed:6 num:3987
time:95.4749 speed:48 num:1759
time:98.0574 speed:18 num:1337
time:98.8911 speed:6 num:415
time:101.284 speed:12 num:1179
time:103.929 speed:12 num:1245
time:106.472 speed:6 num:1303
time:107.843 speed:24 num:680
time:107.969 speed:48 num:57
time:110.126 speed:12 num:1108
time:110.139 speed:24 num:5
time:112.563 speed:36 num:1190
time:113.478 speed:6 num:442
time:117.371 speed:54 num:2015
time:119.46 speed:9 num:1015
time:120.627 speed:54 num:559
time:120.668 speed:12 num:15
time:121.732 speed:9 num:515
time:125.368 speed:18 num:1844
time:128.924 speed:48 num:1833
time:130.172 speed:54 num:640
time:131.493 speed:6 num:645
time:132.721 speed:36 num:631
time:132.828 speed:12 num:69
time:141.076 speed:12 num:4219
time:141.161 speed:48 num:37
time:144.788 speed:54 num:1839
time:144.913 speed:24 num:66
time:153.187 speed:12 num:4115
time:153.344 speed:54 num:62
time:155.796 speed:54 num:1200
time:159.451 speed:18 num:1796
time:163.838 speed:12 num:2172
time:164.266 speed:18 num:204
time:164.631 speed:48 num:171
time:165.427 speed:54 num:372
time:165.767 speed:48 num:152
time:166.329 speed:6 num:294
time:170.189 speed:6 num:1940
time:170.477 speed:18 num:131
time:175.226 speed:18 num:2318
time:186.623 speed:18 num:5740
time:186.736 speed:24 num:58
time:187.38 speed:9 num:318
time:196.721 speed:6 num:4699
time:197.622 speed:54 num:458
time:198.327 speed:54 num:368
time:201.093 speed:24 num:1433
time:201.161 speed:48 num:41
time:203.693 speed:6 num:1229
time:205.083 speed:48 num:686
time:206.899 speed:54 num:883
time:210.897 speed:54 num:1954
time:211.598 speed:9 num:340
time:212.712 speed:54 num:557
time:212.874 speed:36 num:92
time:218.58 speed:12 num:2860
time:222.827 speed:48 num:2088
time:223.093 speed:36 num:133
time:239.972 speed:54 num:8358
time:240.154 speed:24 num:91
time:240.276 speed:24 num:64
time:247.133 speed:24 num:3353
time:251.831 speed:54 num:2387
time:253.051 speed:54 num:620
time:253.101 speed:36 num:25
time:253.646 speed:9 num:281
time:257.638 speed:9 num:1989
time:258.873 speed:48 num:646
time:260.275 speed:24 num:689
time:260.815 speed:24 num:233
time:264.441 speed:24 num:1811
time:269.721 speed:9 num:2639
time:272.632 speed:36 num:1460
time:273.103 speed:18 num:251
time:273.654 speed:18 num:272
time:276.398 speed:6 num:1336
time:277.092 speed:54 num:352
time:280.01 speed:24 num:1453
time:281.061 speed:54 num:528
time:281.599 speed:9 num:291
time:281.774 speed:24 num:80
time:282.952 speed:12 num:590
time:283.322 speed:18 num:190
time:284.989 speed:48 num:858
time:285.021 speed:48 num:22
time:286.039 speed:9 num:518
time:291.074 speed:9 num:2512
time:297.462 speed:18 num:3253
time:297.483 speed:48 num:13
time:297.952 speed:48 num:219
time:304.871 speed:18 num:3410
time:308.149 speed:18 num:1643
time:310.984 speed:12 num:1376
time:311.324 speed:6 num:199
time:311.635 speed:24 num:188
time:311.781 speed:18 num:54
time:311.907 speed:9 num:61
time:312.437 speed:48 num:261
time:316.691 speed:48 num:2139
time:320.488 speed:24 num:1900
time:325.362 speed:18 num:2415
time:327.802 speed:9 num:1174
time:328.16 speed:18 num:174
time:328.473 speed:18 num:161
time:329.253 speed:48 num:433
time:330.003 speed:36 num:385
time:332.145 speed:36 num:1055
time:332.252 speed:6 num:51
time:332.9 speed:6 num:323
time:336.329 speed:9 num:1639
time:336.672 speed:18 num:172
time:340.652 speed:6 num:2059
time:349.776 speed:18 num:4469
time:352.818 speed:6 num:1504
time:353.037 speed:54 num:120
time:358.567 speed:12 num:2766
time:360.63 speed:36 num:961
time:363.614 speed:36 num:1397
time:366.825 speed:36 num:1534
time:370.253 speed:6 num:1717
time:371.431 speed:36 num:553
time:372.085 speed:48 num:327
time:372.165 speed:6 num:43
time:374.025 speed:18 num:943
time:376.738 speed:9 num:1341
